by debit card-othpos,300.0,N/A
one communications,200.0,lnoida
traviangamesfgbad,1659.73,munich
paytm,520.0,noida
paytm,441.0,noida
paytm,600.0,noida
paytm,238.0,noida
paytm,200.0,noida
kfc sapphire,129.0,new delhi
kfc sapphire,260.0,new delhi
cdkeys.com,3545.55,N/A
kfc sapphire,526.0,new delhi
itunes.com/bill,60.0,N/A
/xxxxxxxciub--,1200.0,N/A
paytm,1337.0,noida
uber india systems pvt,1.0,new delhi
paytm,213.0,noida
paytm,250.0,noida
uber india systems pvt,354.07,new delhi
one communications,763.0,lnoida
paytm,850.0,noida
www olacabs com,100.0,gurgaon
atm wdl-atm cash +n,500.0,N/A
itunes.com/bill,60.0,N/A
to transfer-inb imps/pa/,2100.0,N/A
atm wdl-atm cash sbi mcleodganj,1400.0,N/A
by debit card-sbipg,350.0,N/A
by debit card-othpos,480.0,N/A
paytm,109.0,noida
paytm,230.0,noida
paytm,100.0,noida
paytm,201.0,noida
paytm,100.0,noida
atm wdl-atm cash +ain road,1000.0,N/A
to transfer-inb,408.0,amazon
paytm,290.0,noida
paytm,92.0,noida
by debit card-sbipg lu,495.0,N/A
paytm,217.0,noida
paytm,47.0,noida
by debit card-sbipg,383.0,N/A
by debit card-sbipg,1015.0,N/A
itunes.com/bill,60.0,N/A
by debit card-othpos,1919.0,N/A
www olacabs com,126.0,gurgaon
www olacabs com,200.0,gurgaon
www olacabs com,50.0,gurgaon
zaak epayment,1.0,mumbai
zaak epayment,43.0,mumbai
www olacabs com,116.0,gurgaon
www olacabs com,130.0,gurgaon
www olacabs com,250.0,gurgaon
www olacabs com,250.0,gurgaon
www olacabs com,99.0,N/A
by debit card-othpos,5517.0,N/A
by debit card-othposzolo,9000.0,bangalore
www olacabs com,100.0,N/A
by debit-,352.0,N/A
to transfer-inb bundl technologies,325.0,N/A
bill_razecom,1002.0,N/A
uber india systems pvt,38.93,new delhi
by debit card-othpo,2293.0,bangalore
to transfer-inb,202.0,swiggy
to transfer-inb,247.0,swiggy
www olacabs com,11.0,N/A
by debit card-othpos,350.0,N/A
paytm,340.76,noida
by debit card-sbipg luamazon,1197.0,mumbai
by debit card-sbipg luamazon,599.0,mumbai
social koramangala,840.0,bangalore
www olacabs com,200.0,N/A
uber india systems pvt,65.34,new delhi
uber india systems pvt,43.0,new delhi
uber india systems pvt,36.47,new delhi
uber india systems pvt,37.67,new delhi
uber india systems pvt,43.0,new delhi
to transfer-upi//kfcindia@ybl--,421.0,N/A
to transfer-upi//,150.0,N/A
uber india systems pvt,6.12,new delhi
by debit card-sbipg lu,923.0,N/A
razorpay zomato,266.66,jaipur
uber india systems pvt,46.42,new delhi
to transfer-inb bundl technologies,542.0,N/A
paytm,933.17,noida
uber india systems pvt,35.16,new delhi
madhuloka retail,340.0,bangalore
uber india systems pvt,95.53,new delhi
to transfer-inb,240.0,swiggy
uber india systems pvt,202.83,new delhi
uber india systems pvt,35.79,new delhi
trent limited,3292.0,bangalore
kfc restaurants.,304.0,bangalore
uber india systems pvt,36.45,new delhi
to transfer-upi//paytm@icici--,149.0,N/A
to transfer-upi,51.0,N/A
to transfer-inb,278.0,swiggy
www olacabs com,40.0,N/A
uber india systems pvt,60.15,new delhi
paytm,748.0,noida
www olacabs com,34.0,N/A
to transfer-upi//ccavenues@icici--,200.89,N/A
zolostays property,10961.0,bangalore
future retail ltd,1097.0,bangalore
www olacabs com,50.0,N/A
uber india systems pvt,76.15,new delhi
uber india systems pvt,61.69,new delhi
paytm,1295.5,noida
paytm,342.0,noida
paytm,431.0,noida
itunes.com/bill,399.0,N/A
itunes.com/bill,60.0,N/A
www olacabs com,23.0,N/A
to transfer-inb godaddy india domains,211.22,N/A
www olacabs com,44.0,N/A
www olacabs com,20.0,N/A
uber india systems pvt,65.48,new delhi
www olacabs com,30.0,N/A
www olacabs com,200.0,N/A
paytm,500.0,noida
to transfer-inb yum restaurant,536.98,N/A
by debit card-othposharr,548.0,N/A
uber india systems pvt,59.24,new delhi
paytm,190.65,noida
paytm,30.0,noida
by debit card-sbipg luamazon,676.0,mumbai
to transfer-inb razorpay (ecommerce),451.0,N/A
www olacabs com,100.0,N/A
by debit card-othposeasy day,175.0,bangalore
